"Bill of Material for "
"On 6/25/2017 at 10:29:12 PM"

"Comment","Pattern","Quantity","Components"

"0.1 uF","0603","2","C1, C9","CAP CER 0.1UF 50V X7R 0603"
"0.1uF","0603","1","C8","CAP CER 0.1UF 50V 10% X7R 0603"
"10uF","1206","3","C4, C6, C7","10µF ±20% 50V Ceramic Capacitor X5R 1206 (3216 Metric)"
"120","0603","2","R2, R3","120 Ohm ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"1uf","0603","1","C10","1µF ±20% 50V Ceramic Capacitor X5R 0603 (1608 Metric)"
"47 uF","2917","1","C2","Tantalum Capacitors - Solid SMD 35volts 47uF 10% ESR=300mOhms"
"47","0603","3","R5, R6, R14","RES SMD 47 OHM 1% 1/10W 0603"
"6.49k","0603","10","R1, R4, R7, R8, R9, R10, R11, R12, R13, R15","6.49k Ohm ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"74AHCT1G14","SOT-353","1","U3","IC SCHMIT-TRIGG INV GATE SOT353"
"BTS141TC","INF-PG-TO263-3-2_N","1","U10","Smart Low-Side Power Switch HITFET, 60 V VDS, 12 A ID, -40 to 150 degC, PG-TO263-3-2, Reel, Green"
"CDBA240LL-HF","SMA with A and K","1","D3","Diode Schottky 40V 2A Surface Mount DO-214AC (SMA)"
"CR1225","Battery Clip - CR1225","1","Batt1","Lithium Battery Non-Rechargeable (Primary) 3V Coin, 12.5mm"
"Green","0805 Polarized","1","D1","LED RED DIFFUSED 0805 SMD"
"Header 4","HDR1X4","3","I2C, P1, UART1","Header, 4-Pin"
"Header 6","HDR1X6","1","SPI1","Header, 6-Pin"
"MCP2003A-E/SN","SOIC-SN8_N","1","U7","LIN J2602 Transceiver, 8-Pin SOIC, Extended Temperature, Tape and Reel"
"MCP2515-E/ML","QFN-ML20_M","1","U6","CAN Controller CAN 2.0 SPI Interface 20-QFN (4x4)"
"MCP2558","TDFN","3","U5, U8, U9","Microchip CAN FD Transceiver with Silent Mode"
"NCV7356D1G","ONSC-SOIC-8-751-07_V","1","U2","Single Wire CAN Transceiver, 5 to 27 V, 8-Pin SOIC, Pb-Free, Tube"
"Red","0805 Polarized","1","D2","LED RED DIFFUSED 0805 SMD"
"SN75HVD08DR","SOIC-SN8_N","1","U4","IC RS485 TXRX 3/5V 8-SOIC"
"Teensy 3.6 Through Hole","Teensy 3.6 Through Hole - No Labels","1","Teensy 1","32 Bit Arduino-Compatible Microcontroller"
"TLF80511TF V50","INF-PG-TO252-3-11_N","1","U1","Low Dropout Linear Fixed Voltage Regulator, 5 Vout, -40 to 150 degC, PG-TO252-3, Reel, Green"
"Vehicle Interface Cable Connector","DSUB1.385-2H15","1","J1","Receptacle Assembly, 15 Position, Right Angle"
